yy;aeronautica_6686;aeronautica_6690;aeronautica_6691;aeronautica_6692;aeronautica_6693;aeronautica_6694;aeronautica_6697;aeronautica_6707;aeronautica_6709;aeronautica_6711;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6736;aeronautica_6758;aeronautica_6768;aeronautica_6769;aeronautica_6771;aeronautica_6773;aeronautica_6776;aeronautica_6777;aeronautica_6779;aeronautica_6782;aeronautica_6784;aeronautica_6794;aeronautica_6800;aeronautica_6803;aeronautica_6810;aeronautica_6812;aeronautica_6817;aeronautica_6819;aeronautica_6820;aeronautica_6821;aeronautica_6822;aeronautica_6826;aeronautica_6827;aeronautica_6828;aeronautica_6836;aeronautica_6839;aeronautica_6841;aeronautica_6850;aeronautica_6851;aeronautica_6856;aeronautica_6858;aeronautica_6859;aeronautica_6865;aeronautica_6867;aeronautica_6869;aeronautica_6874;aeronautica_6876;aeronautica_6881;aeronautica_6883;aeronautica_6884;aeronautica_6889;aeronautica_6891;aeronautica_6893;aeronautica_6897;aeronautica_6901;aeronautica_6902;aeronautica_6906;aeronautica_6919;aeronautica_6922;aeronautica_6923;aosta_105;aosta_106;basilicata_48;bolzano_102;bolzano_107;bolzano_176;bolzano_223;bolzano_28;bolzano_39;bolzano_5;bolzano_77;bolzano_83;calabria_140;calabria_18;calabria_2;calabria_265;emilia_12652;emilia_13119;emilia_9013;emilia_9036;emilia_9045;emilia_9139;emilia_9146;emilia_9200;emilia_9210;emilia_9225;emilia_9277;emilia_9371;emilia_9387;emilia_9577;emilia_9588;lazio_240;lazio_275;lazio_276;lazio_278;lazio_281;lazio_282;lazio_289;lazio_333;marche_101;marche_104;marche_108;marche_109;marche_110;marche_123;marche_142;marche_151;marche_25;marche_605;marche_609;marche_701;marche_702;marche_703;sicilia_136;sicilia_147;sicilia_22;sicilia_24;sicilia_29;sicilia_41;sicilia_48;sicilia_56;sicilia_60;sicilia_66;sicilia_74;sicilia_82;sicilia_83;sicilia_85;sicilia_87;sicilia_9;toscana_17;toscana_464
1971;NA;NA;0;0;0;0;0;NA;7;NA;NA;0;0;0;0;0;NA;NA;17;0;0;0;0;0;NA;0;6;NA;6;6;0;NA;NA;0;NA;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;NA;0;0;NA;NA;0;0;0;8;15;6;0;0;0;0;7;6;6;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;NA;0;0;0;0;0;0;6;0;6;0;0;6;0;0;0;0;0;7;0;0;9;6;0;6;9;0;0;8;6;0;0;0;0;0;0;0
1972;NA;NA;0;0;0;0;NA;NA;0;NA;NA;0;0;0;0;0;NA;NA;7;0;0;0;0;0;NA;0;0;NA;0;0;0;NA;0;0;NA;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;NA;NA;0;NA;0;0;0;0;0;NA;0;0;NA;NA;0;0;0;0;0;0;6;0;0;0;0;0;0;8;8;0;0;0;0;0;7;0;6;6;0;0;0;0;0;6;6;6;0;0;0;0;0;NA;0;6;6;0;0;0;0;7;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;9;0;0;0;0
1973;NA;0;8;8;8;8;7;0;0;0;8;0;7;7;8;7;6;0;0;0;0;6;13;NA;7;8;0;7;0;7;6;0;0;0;0;0;6;0;NA;6;8;0;0;0;0;8;0;0;6;18;0;0;0;0;6;6;7;0;6;0;6;6;0;0;0;0;0;0;6;0;0;0;0;0;0;6;7;9;12;0;NA;8;13;0;7;0;8;0;8;0;0;0;0;0;0;7;0;0;6;6;0;14;7;7;0;0;0;0;0;13;0;6;7;0;0;0;0;0;0;7;6;0;7;6;NA;6;15;0;6;20;14;NA;29;15;12;6;7;0
1974;0;6;7;7;0;7;0;0;6;6;6;6;7;13;6;12;0;0;12;0;0;0;0;0;0;6;0;8;0;0;8;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;7;12;0;7;0;7;0;6;22;0;0;NA;0;0;19;0;0;6;17;0;0;0;0;7;6;7;7;0;0;0;12;0;NA;0;0;0;6;0;0;6;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;NA;0;0;NA;0;NA;0;0;0;0;0;6;0
1975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;6;0;NA;0;0;0;0;0;0;NA;NA;NA;NA;6;6;0;6;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;15;6;0;0;0;0
1976;13;14;12;13;13;NA;8;14;15;0;0;0;13;0;15;16;13;0;13;0;0;12;0;9;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;6;7;0;7;13;22;6;0;6;8;15;8;0;0;NA;NA;0;0;0;0;6;25;0;12;0;7;14;21;6;0;0;NA;NA;0;0;NA;6;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;6;0;0;0;7;0;0;0;0
1977;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;6;7;0;0;0;0;0;0;0;7;0;0;6;0;0;0;6;0;0;0;0;0;0;0;0;6;0;7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;7;0;0;0;0;0;6;0;0;6;0;0;0;0;0;NA;0;0;0;0;0;0;0;15;0;NA;6;0;0;0;0;0;NA;8;0;0;NA;0;16;0;0;0;0;0;NA;0;20;24;14;0;0;7;0;0
1978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;NA;18;13;9;0;0;8;NA;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;14;0;0;0;0;0;NA;0;6;6;0;0;0;0;0;6
1979;NA;6;6;12;0;9;0;0;6;0;0;0;0;0;6;6;6;8;0;0;6;10;0;8;8;0;8;0;0;10;11;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;6;0;0;0;7;7;0;0;0;0;7;11;0;NA;7;NA;0;9;12;11;11;0;0;0;0;0;0;9;0;0;0;NA;0;0;0;11;11;11;8;0;10;0;8;0;0;NA;8;9;0;8;0;0;9;0;12;0;0;11;12;6;9;11;0;0;0;7;0;0;0;0;0;0;6;19;7;0;15;0;0;8;9
1980;0;0;0;0;0;0;0;6;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0
